Name,Paper,Tracer Warning,Selection,Hide,Robust,Clean Accuracy,Robust Accuracy,Network,Backbone,Framework,Pretraining-Dataset,Training-Dataset,Visual Category,Visual Category_micro,Precision,Conv Weight Initializer,Optimizer,Task,Input Shape,Accessible
robustbench_Rebuffi2021Fixing_106_16_cutmix_ddpm_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,88.50,64.64,Rebuffi2021Fixing_106_16_cutmix_ddpm,WideResNet-106-16,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2021Improving_R18_ddpm_100m_cifar10_linf_13,https://arxiv.org/abs/2110.09468,,,,True,87.35,58.63,Gowal2021Improving_R18_ddpm_100m,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_R18_ddpm_cifar10_linf_13,https://arxiv.org/abs/2103.01946,,,,True,83.53,56.66,Rebuffi2021Fixing_R18_ddpm,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Sehwag2020Hydra_cifar10_linf_13,https://arxiv.org/abs/2002.10509,,,,True,88.98,57.14,Sehwag2020Hydra,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Zhang2019You_cifar10_linf_13,https://arxiv.org/abs/1905.00877,,,,True,87.20,44.83,Zhang2019You,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Wu2020Adversarial_cifar10_linf_13,https://arxiv.org/abs/2004.05884,,,,True,85.36,56.17,Wu2020Adversarial,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Salman2020Do_R50_imagenet_linf_13,https://arxiv.org/abs/2007.08489,,,,True,64.02,34.96,Salman2020Do_R50,ResNet-50,pytorch,False,imagenet,natural,,fp32,,,Classification,,
robustbench_Rade2021Helper_R18_ddpm_cifar100_linf_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,True,61.50,28.88,Rade2021Helper_R18_ddpm,PreActResNet-18,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Rice2020Overfitting_cifar10_linf_13,https://arxiv.org/abs/2002.11569,,,,True,85.34,53.42,Rice2020Overfitting,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2020Uncovering_70_16_cifar10_linf_13,https://arxiv.org/abs/2010.03593,,,,True,85.29,57.20,Gowal2020Uncovering_70_16,WideResNet-70-16,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Sitawarin2020Improving_cifar10_linf_13,https://arxiv.org/abs/2003.09347,,,,True,86.84,50.72,Sitawarin2020Improving,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Zhang2019Theoretically_cifar10_linf_13,https://arxiv.org/abs/1901.08573,,,,True,84.92,53.08,Zhang2019Theoretically,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Addepalli2021Towards_WRN34_cifar100_linf_13,https://openreview.net/forum?id=SHB_znlW5G7,,,,True,65.73,30.35,Addepalli2021Towards_WRN34,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Wang2020Improving_cifar10_linf_13,https://openreview.net/forum?id=rklOg6EFwS,,,,True,87.50,56.29,Wang2020Improving,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Cui2020Learnable_34_10_LBGAT6_cifar100_linf_13,https://arxiv.org/abs/2011.11164,,,,True,60.64,29.33,Cui2020Learnable_34_10_LBGAT6,WideResNet-34-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Wong2020Fast_cifar10_linf_13,https://arxiv.org/abs/2001.03994,,,,True,83.34,43.21,Wong2020Fast,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Pang2020Boosting_cifar10_linf_13,https://arxiv.org/abs/2002.08619,,,,True,85.14,53.74,Pang2020Boosting,WideResNet-34-20,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Rebuffi2021Fixing_28_10_cutmix_ddpm_cifar100_linf_13,https://arxiv.org/abs/2103.01946,,,,True,62.41,32.06,Rebuffi2021Fixing_28_10_cutmix_ddpm,WideResNet-28-10,pytorch,False,cifar100,natural,,fp32,,,Classification,,
robustbench_Rade2021Helper_R18_ddpm_cifar10_linf_13,https://openreview.net/forum?id=BuD2LmNaU3a,,,,True,86.86,57.09,Rade2021Helper_R18_ddpm,PreActResNet-18,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Chen2021LTD_WRN34_10_cifar10_linf_13,https://arxiv.org/abs/2111.02331,,,,True,85.21,56.94,Chen2021LTD_WRN34_10,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Sridhar2021Robust_cifar10_linf_13,https://arxiv.org/abs/2106.02078,,,,True,89.46,59.66,Sridhar2021Robust,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Hendrycks2019Using_cifar10_linf_13,https://arxiv.org/abs/1901.09960,,,,True,87.11,54.92,Hendrycks2019Using,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
robustbench_Huang2020Self_cifar10_linf_13,https://arxiv.org/abs/2002.10319,,,,True,83.48,53.34,Huang2020Self,WideResNet-34-10,pytorch,False,cifar10,natural,,fp32,,,Classification,,
robustbench_Gowal2020Uncovering_28_10_extra_cifar10_linf_13,https://arxiv.org/abs/2010.03593,,,,True,89.48,62.80,Gowal2020Uncovering_28_10_extra,WideResNet-28-10,pytorch,True,cifar10,natural,,fp32,,,Classification,,
