,Robust,Normal,Arch
42,robustbench_Addepalli2021Towards_WRN34_cifar10_linf_13,hso_normal_training_robustbench_Addepalli2021Towards_WRN34_cifar10_13,WideResNet-34-10
43,robustbench_Gowal2021Improving_70_16_ddpm_100m_cifar10_linf_13,hso_normal_training_robustbench_Gowal2021Improving_70_16_ddpm_100m_cifar10_13,WideResNet-70-16
44,robustbench_Dai2021Parameterizing_cifar10_linf_13,hso_normal_training_robustbench_Dai2021Parameterizing_cifar10_13,WideResNet-28-10-PSSiLU
45,robustbench_Gowal2021Improving_28_10_ddpm_100m_cifar10_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_28_10_extra_cifar10_13,WideResNet-28-10
46,robustbench_Gowal2021Improving_R18_ddpm_100m_cifar10_linf_13,hso_normal_training_robustbench_Rebuffi2021Fixing_R18_ddpm_cifar10_13,PreActResNet-18
47,robustbench_Chen2021LTD_WRN34_10_cifar10_linf_13,hso_normal_training_robustbench_Chen2021LTD_WRN34_10_cifar10_13,WideResNet-34-10
48,robustbench_Chen2021LTD_WRN34_20_cifar10_linf_13,hso_normal_training_robustbench_Chen2021LTD_WRN34_20_cifar10_13,WideResNet-34-20
49,robustbench_Gowal2020Uncovering_cifar100_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_cifar100_13,WideResNet-70-16
50,robustbench_Gowal2020Uncovering_extra_cifar100_linf_13,hso_normal_training_robustbench_Gowal2020Uncovering_cifar100_13,WideResNet-70-16
51,robustbench_Cui2020Learnable_34_20_LBGAT6_cifar100_linf_13,hso_normal_training_robustbench_Cui2020Learnable_34_20_LBGAT6_cifar100_13,WideResNet-34-20
52,robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_linf_13,hso_normal_training_robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_13,WideResNet-34-10
53,robustbench_Cui2020Learnable_34_10_LBGAT6_cifar100_linf_13,hso_normal_training_robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_13,WideResNet-34-10
54,robustbench_Chen2020Efficient_cifar100_linf_13,hso_normal_training_robustbench_Chen2020Efficient_cifar100_13,WideResNet-34-10
55,robustbench_Wu2020Adversarial_cifar100_linf_13,hso_normal_training_robustbench_Wu2020Adversarial_cifar100_13,WideResNet-34-10
56,robustbench_Sitawarin2020Improving_cifar100_linf_13,hso_normal_training_robustbench_Cui2020Learnable_34_10_LBGAT0_cifar100_13,WideResNet-34-10
57,robustbench_Hendrycks2019Using_cifar100_linf_13,hso_normal_training_robustbench_Hendrycks2019Using_cifar100_13,WideResNet-28-10
58,robustbench_Rice2020Overfitting_cifar100_linf_13,hso_normal_training_robustbench_Rice2020Overfitting_cifar100_13,PreActResNet-18
